Year,Month,Hour,Vehicle,Driver / Operator Type,City,State,Roadway Type,Roadway Surface,Roadway Description,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Speed Difference Category,Mileage Category
2025,6,13,Tesla Model Y 2025,Consumer,Glen Allen,VA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,SUV,Unknown,Proceeding Straight,Yes,Unknown,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Lane / Road Departure,No,Unknown,Unknown,N,N,Y,Y,N,N,N,N,N,N,N,N,Slightly Over,Low
2025,5,7,Tesla Model Y 2025,Consumer,Chicago,IL,Highway / Freeway,Dry,Unknown,Dark - Lighted,Y,N,N,N,N,N,N,N,N,"Other, see Narrative",Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,Slightly Over,Low
2025,5,17,Tesla Model Y 2026,Consumer,Austin,TX,Highway / Freeway,Dry,No Unusual Conditions,Daylight,N,N,Y,N,N,N,N,N,N,Other Fixed Object,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Making Right Turn,No,Yes,Unknown,N,Y,N,N,N,N,N,N,N,N,N,N,At or Below Limit,Low
2025,5,21,Tesla Model Y 2023,Consumer,Melrose Park,IL,Highway / Freeway,Dry,Unknown,Daylight,Y,N,N,N,N,N,N,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,Slightly Over,Medium
2025,4,6,Toyota Prius 2023,Consumer,Trinidad,CA,Highway / Freeway,Wet,Unknown,Dark - Not Lighted,N,N,N,N,Y,N,N,N,N,"Other, see Narrative",Unknown,Unknown,Not Applicable,Not Applicable,N,N,N,N,N,N,N,N,N,N,Y,Proceeding Straight,Yes,Yes,Yes,N,Y,N,N,Y,N,N,Y,N,N,N,N,Slightly Over,Medium
2025,5,23,Tesla Model Y 2021,Consumer,Sausalito,CA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Passenger Car,Unknown,Merging,Unknown,Unknown,Y,N,N,N,N,N,N,N,N,N,N,Lane / Road Departure,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,Y,N,N,At or Below Limit,High
2025,5,21,Tesla Model 3 2019,Consumer,Austin,TX,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Passenger Car,Unknown,Lane / Road Departure,No,Unknown,N,N,Y,N,N,N,N,N,N,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,Y,N,N,At or Below Limit,Very High
2025,5,0,Tesla Model X 2017,Consumer,Holbrook,NY,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,High
2025,4,8,Tesla Model 3 2021,Consumer,Dallas,TX,Intersection,Dry,No Unusual Conditions,Dark - Lighted,N,N,Y,N,N,N,N,N,N,Passenger Car,Unknown,Proceeding Straight,Unknown,Unknown,N,N,N,N,N,N,N,Y,Y,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,Y,N,N,Y,N,N,Y,N,N,At or Below Limit,Medium
2025,5,22,Tesla Model 3 2022,Consumer,Bend,OR,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Serious,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,High
2025,5,16,Subaru Forester 2022,Consumer,Millcreek,UT,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Other Fixed Object,Minor,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Proceeding Straight,Yes,Yes,Yes,N,N,N,Y,N,N,Y,N,N,Y,N,N,At or Below Limit,Medium
2025,5,18,GMC Yukon 2023,Consumer,Oakland,MS,Highway / Freeway,Dry,No Unusual Conditions,Daylight,N,N,N,N,N,N,N,Y,Partly Cloudy,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Yes,N,N,N,N,N,N,N,N,Y,N,N,N,Slightly Over,Very High
2025,5,14,Tesla Model Y 2025,Consumer,Harris,MN,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,Slightly Over,Medium
2025,5,22,Tesla Model Y 2022,Consumer,Fort Wayne,IN,Highway / Freeway,Dry,Unknown,Daylight,N,N,Y,N,N,N,N,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,Slightly Over,Very High
2025,5,23,Tesla Model X 2019,Consumer,West Sacramento,CA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Pickup Truck,Unknown,Stopped,Unknown,Unknown,Y,N,N,Y,N,N,Y,N,N,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,Y,N,N,Y,N,N,Y,N,N,At or Below Limit,Very High
2025,5,1,Tesla Model Y 2021,Consumer,Pomona,CA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Other Fixed Object,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Lane / Road Departure,Yes,Unknown,Unknown,N,Y,Y,Y,N,N,N,N,N,N,N,N,Moderately Over,Very High
2025,5,18,Tesla Model 3 2022,Consumer,Munds Park,AZ,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,High
2025,5,11,Tesla Model 3 2021,Consumer,Irvine,CA,Highway / Freeway,Dry,No Unusual Conditions,Dark - Lighted,Y,N,N,N,N,N,N,N,N,Other Fixed Object,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Lane / Road Departure,Yes,Unknown,Unknown,N,Y,Y,Y,N,N,N,N,N,N,N,N,Moderately Over,Very High
2025,5,1,Tesla Model 3 2025,Consumer,Tucson,AZ,Intersection,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Passenger Car,Unknown,Making Left Turn,Yes,Unknown,N,N,N,N,N,N,N,Y,Y,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,Y,N,N,Y,N,N,Y,N,N,Slightly Over,Medium
2025,5,11,GMC YUKON DENALI 2025,Consumer,Rocky Mount,NC,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Unknown,No Injuries Reported,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Proceeding Straight,Yes,Unknown,Yes,N,N,N,N,N,Y,N,N,N,N,N,N,At or Below Limit,Low
