year,month,hour,city,state,make,model,model_year,vin,mileage_category,weather,roadway_type,roadway_surface,lighting,sv_pre_crash_movement,cp_pre_crash_movement,collision_category,highest_injury_severity_alleged
2025,3,18,Lathrop,CA,Tesla,Model 3,2023,5YJ3E1EA0PF,Low,Cloudy,Highway / Freeway,Dry,Daylight,Proceeding Straight,Proceeding Straight,SV Rear-Ended By CP,Unknown
2025,3,15,Los Altos Hills,CA,Tesla,Model Y,2021,5YJYGDEF7MF,Low,Cloudy,Highway / Freeway,Dry,Daylight,Proceeding Straight,Stopped,CP Rear-Ended By SV,Unknown
2025,3,20,Bonita,CA,Tesla,Model X,2017,5YJXCDE22HF,High Medium,Clear,Street,Dry,Daylight,Lane / Road Departure,Unknown,Top / Rollover / Unusual Impact,Unknown
2025,3,8,Lawndale,CA,Tesla,Model 3,2022,5YJ3E1EBXNF,High,Clear,Highway / Freeway,Dry,Dark - Lighted,Proceeding Straight,"Other, see Narrative",Head-On Collision,Unknown
2025,3,2,Otis,OR,Tesla,Model Y,2024,7SAYGAEE7RF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,17,Greenwood,IN,Tesla,Model Y,2021,5YJYGDEE6MF,Low Medium,Clear,Street,Dry,Daylight,Proceeding Straight,Proceeding Straight,CP Rear-Ended By SV,Unknown
2025,3,10,Mt Pleasant,SC,Tesla,Model 3,2023,5YJ3E1EA7PF,Low Medium,Clear,Highway / Freeway,Dry,Dark - Lighted,Proceeding Straight,Changing Lanes,CP Rear-Ended By SV,Unknown
2025,3,12,Montgomery,AL,Tesla,Model 3,2025,5YJ3E1EA4SF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,No Injuries Reported
2025,3,14,Fort Worth,TX,Tesla,Model 3,2024,5YJ3E1EB3RF,Low,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Lane / Road Departure,SV Rear-Ended By CP,Unknown
2025,3,17,Pleasanton,CA,Tesla,Model 3,2018,5YJ3E1EA2JF,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,No Injuries Reported
2025,3,23,San Marino,CA,Tesla,Model Y,2023,7SAYGDEE8PA,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Top / Rollover / Unusual Impact,No Injuries Reported
2025,3,20,Superior,CO,Tesla,Model Y,2025,7SAYGDEE7SF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,2,4,St. Louis,MO,Tesla,Model Y,2022,7SAYGDEE8NA,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,7,Milwaukee,WI,Tesla,Cybertruck,2024,7G2CEHED3RA,Low,Clear,Street,Dry,Dark - Lighted,Unknown,Unknown,Other / Unknown,Unknown
2025,3,21,Scottsdale,AZ,Tesla,Model X,2016,5YJXCBE21GF,Very High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,21,Boynton Beach,FL,Tesla,Model 3,2024,5YJ3E1EB5RF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,0,Phoenix,AZ,Tesla,Model 3,2024,5YJ3E1EAXRF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,1,San Francisco,CA,Tesla,Model 3,2023,5YJ3E1EA6PF,Low,Clear,Street,Dry,Daylight,Changing Lanes,Proceeding Straight,CP Rear-Ended By SV,Unknown
